timestamp_ms,timestamp,open,high,low,close,volume,quote_asset_volume,last_trade_id,sample_count,open_raw,high_raw,low_raw,close_raw
1779705600000,2026-05-25 10:40:00,2115.69,2115.87,2114.7,2115.43,178.28470000000002,377096.651864,20741042496,0,0.0,0.0,0.0,0.0
1779705900000,2026-05-25 10:45:00,2115.43,2116.48,2114.99,2115.64,118.2883,250259.763541,20741195005,0,0.0,0.0,0.0,0.0
1779706200000,2026-05-25 10:50:00,2115.64,2116.37,2114.0,2116.31,263.5009,557364.568117,20741367190,0,0.0,0.0,0.0,0.0
1779706500000,2026-05-25 10:55:00,2116.31,2116.98,2115.51,2116.27,156.0112,330186.945554,20741517267,0,0.0,0.0,0.0,0.0
1779706800000,2026-05-25 11:00:00,2116.27,2116.42,2114.06,2115.24,544.0519,1150614.063959,20741721627,0,0.0,0.0,0.0,0.0
1779707100000,2026-05-25 11:05:00,2115.24,2116.11,2114.23,2116.05,171.8959,363623.056427,20741889615,0,0.0,0.0,0.0,0.0
1779707400000,2026-05-25 11:10:00,2116.05,2116.61,2115.07,2115.31,300.2717,635385.005172,20742036967,0,0.0,0.0,0.0,0.0
1779707700000,2026-05-25 11:15:00,2115.31,2115.66,2114.12,2114.77,135.81550000000001,287251.110488,20742212656,0,0.0,0.0,0.0,0.0
1779708000000,2026-05-25 11:20:00,2114.77,2115.88,2114.24,2115.09,163.9742,346830.387682,20742366483,0,0.0,0.0,0.0,0.0
1779708300000,2026-05-25 11:25:00,2115.09,2115.38,2114.22,2115.11,118.7127,251060.95426600002,20742502720,0,0.0,0.0,0.0,0.0
1779708600000,2026-05-25 11:30:00,2115.11,2118.83,2114.65,2118.73,301.41819999999996,638058.213024,20742681663,0,0.0,0.0,0.0,0.0
1779708900000,2026-05-25 11:35:00,2118.73,2119.9,2117.06,2119.2,505.5647,1071360.574776,20742869937,0,0.0,0.0,0.0,0.0
1779709200000,2026-05-25 11:40:00,2119.2,2119.2,2117.25,2118.1,279.9934,593051.064135,20743027796,0,0.0,0.0,0.0,0.0
1779709500000,2026-05-25 11:45:00,2118.1,2119.31,2116.51,2117.4,451.0448,955201.3312429999,20743217071,0,0.0,0.0,0.0,0.0
1779709800000,2026-05-25 11:50:00,2117.4,2117.6,2115.4,2115.89,248.1658,525135.8706,20743395223,0,0.0,0.0,0.0,0.0
1779710100000,2026-05-25 11:55:00,2115.89,2116.7,2113.22,2114.35,273.95640000000003,579283.831572,20743573616,0,0.0,0.0,0.0,0.0
1779710400000,2026-05-25 12:00:00,2114.35,2114.52,2111.39,2112.88,976.1498,2062255.974651,20743812196,0,0.0,0.0,0.0,0.0
1779710700000,2026-05-25 12:05:00,2112.88,2114.06,2111.96,2113.12,399.9551,845197.890657,20744011197,0,0.0,0.0,0.0,0.0
1779711000000,2026-05-25 12:10:00,2113.12,2114.7,2112.64,2114.21,451.1461,953779.189076,20744195806,0,0.0,0.0,0.0,0.0
1779711300000,2026-05-25 12:15:00,2114.21,2115.62,2113.0,2114.78,287.5151,607756.85905,20744424819,0,0.0,0.0,0.0,0.0
1779711600000,2026-05-25 12:20:00,2114.78,2116.82,2113.17,2115.55,314.67,665665.689646,20744652280,0,0.0,0.0,0.0,0.0
1779711900000,2026-05-25 12:25:00,2115.55,2117.7,2115.41,2117.16,555.8392,1176617.062434,20744860725,0,0.0,0.0,0.0,0.0
1779712200000,2026-05-25 12:30:00,2117.16,2118.14,2115.81,2116.62,230.9468,488853.09616,20745048869,0,0.0,0.0,0.0,0.0
1779712500000,2026-05-25 12:35:00,2116.62,2117.75,2115.11,2115.8,231.1824,489264.03725900006,20745232067,0,0.0,0.0,0.0,0.0
1779712800000,2026-05-25 12:40:00,2115.8,2116.82,2115.16,2116.74,196.8779,416668.12742,20745384206,0,0.0,0.0,0.0,0.0
1779713100000,2026-05-25 12:45:00,2116.74,2116.88,2113.79,2115.71,413.278,873983.00144,20745606858,0,0.0,0.0,0.0,0.0
1779713400000,2026-05-25 12:50:00,2115.71,2118.5,2115.28,2117.92,143.2395,303219.319499,20745786565,0,0.0,0.0,0.0,0.0
1779713700000,2026-05-25 12:55:00,2117.92,2118.92,2116.11,2116.2,187.5908,397199.495783,20745985806,0,0.0,0.0,0.0,0.0
1779714000000,2026-05-25 13:00:00,2116.2,2118.93,2115.12,2118.77,279.0591,590849.589438,20746227157,0,0.0,0.0,0.0,0.0
1779714300000,2026-05-25 13:05:00,2118.77,2119.48,2116.71,2116.81,222.3892,471066.535525,20746426843,0,0.0,0.0,0.0,0.0
1779714600000,2026-05-25 13:10:00,2116.81,2117.24,2113.71,2115.25,255.4774,540511.721012,20746614715,0,0.0,0.0,0.0,0.0
1779714900000,2026-05-25 13:15:00,2115.25,2116.29,2113.91,2113.91,229.6172,485688.643841,20746804652,0,0.0,0.0,0.0,0.0
1779715200000,2026-05-25 13:20:00,2113.91,2115.76,2113.35,2114.69,126.2949,267109.230459,20746984538,0,0.0,0.0,0.0,0.0
1779715500000,2026-05-25 13:25:00,2114.69,2115.56,2113.97,2114.44,210.4348,444967.552249,20747158215,0,0.0,0.0,0.0,0.0
1779715800000,2026-05-25 13:30:00,2114.44,2115.99,2114.04,2114.77,273.2699,577987.421354,20747355314,0,0.0,0.0,0.0,0.0
1779716100000,2026-05-25 13:35:00,2114.77,2116.07,2114.15,2115.84,132.14939999999999,279523.981821,20747557169,0,0.0,0.0,0.0,0.0
1779716400000,2026-05-25 13:40:00,2115.84,2116.06,2114.65,2116.0,136.5491,288851.750651,20747738140,0,0.0,0.0,0.0,0.0
1779716700000,2026-05-25 13:45:00,2116.0,2116.39,2114.35,2115.6,188.7343,399142.786586,20747930410,0,0.0,0.0,0.0,0.0
1779717000000,2026-05-25 13:50:00,2115.6,2116.25,2114.16,2115.56,144.2202,305042.736677,20748122033,0,0.0,0.0,0.0,0.0
1779717300000,2026-05-25 13:55:00,2115.56,2115.95,2114.97,2115.2,87.93690000000001,186016.584508,20748303383,0,0.0,0.0,0.0,0.0
1779717600000,2026-05-25 14:00:00,2115.2,2118.99,2114.65,2118.83,168.8178,357209.220129,20748543724,0,0.0,0.0,0.0,0.0
1779717900000,2026-05-25 14:05:00,2118.83,2122.0,2118.09,2119.25,566.6403,1201085.122423,20748858749,0,0.0,0.0,0.0,0.0
1779718200000,2026-05-25 14:10:00,2119.25,2120.17,2117.8,2118.67,295.8048,626736.6399450001,20749076957,0,0.0,0.0,0.0,0.0
1779718500000,2026-05-25 14:15:00,2118.67,2123.0,2118.17,2122.25,524.7346,1112663.5913250002,20749356977,0,0.0,0.0,0.0,0.0
1779718800000,2026-05-25 14:20:00,2122.25,2122.28,2120.18,2122.16,303.7026,644253.634884,20749599098,0,0.0,0.0,0.0,0.0
1779719100000,2026-05-25 14:25:00,2122.16,2127.06,2122.16,2126.81,992.3078999999999,2108501.078626,20749896256,0,0.0,0.0,0.0,0.0
